transect_id,longitude,latitude,elev_lowestmode,elev_dem,rh100,quality_flag,beam
0,-70.140025,-12.599914,245.88999938964844,245.0,24.12,1,BEAM01
0,-70.139123,-12.599463,244.4600067138672,244.0,26.14,1,BEAM01
0,-70.139731,-12.599238,243.82000732421875,246.0,25.53,1,BEAM01
0,-70.140068,-12.598788,245.77000427246094,247.0,25.55,1,BEAM01
0,-70.139201,-12.598562,247.8000030517578,247.0,24.03,1,BEAM01
0,-70.139739,-12.597887,244.2899932861328,245.0,20.09,1,BEAM01
0,-70.139834,-12.597211,242.0399932861328,242.0,29.07,1,BEAM01
0,-70.139902,-12.596986,243.83999633789062,243.0,26.6,0,BEAM01
0,-70.139907,-12.596761,244.97999572753906,244.0,20.79,1,BEAM01
0,-70.139569,-12.596535,240.63999938964844,242.0,23.98,1,BEAM01
0,-70.139291,-12.595634,231.35000610351562,232.0,26.73,0,BEAM01
0,-70.139191,-12.594959,235.19000244140625,234.0,26.44,1,BEAM01
0,-70.139917,-12.594733,230.5500030517578,232.0,26.4,1,BEAM01
0,-70.139471,-12.594058,231.75,231.0,26.67,1,BEAM01
0,-70.13937,-12.593833,229.42999267578125,229.0,26.6,1,BEAM01
0,-70.139236,-12.592932,218.22000122070312,220.0,23.89,1,BEAM01
0,-70.139447,-12.592706,221.9600067138672,220.0,31.54,1,BEAM01
0,-70.13996,-12.592481,222.3300018310547,221.0,25.39,1,BEAM01
0,-70.13964,-12.592031,221.05999755859375,221.0,31.64,1,BEAM01
0,-70.139153,-12.59158,220.55999755859375,220.0,26.47,1,BEAM01
0,-70.1392,-12.590905,227.61000061035156,228.0,34.13,1,BEAM01
0,-70.140036,-12.590679,226.6999969482422,226.0,24.19,1,BEAM01
0,-70.139872,-12.589779,225.7899932861328,225.0,22.7,1,BEAM01
0,-70.139841,-12.588878,240.50999450683594,241.0,30.11,0,BEAM01
0,-70.139424,-12.588652,240.30999755859375,240.0,32.33,1,BEAM01
0,-70.139408,-12.588427,242.47000122070312,241.0,34.55,1,BEAM01
0,-70.139607,-12.588202,239.86000061035156,240.0,31.62,1,BEAM01
0,-70.139475,-12.587301,249.35000610351562,248.0,20.29,1,BEAM01
0,-70.139248,-12.587076,248.5399932861328,248.0,28.25,0,BEAM01
0,-70.139507,-12.586851,244.61000061035156,246.0,28.52,1,BEAM01
